regulator	target	condition	weight
MTRNR2L8	SH2D2A	differential	1
MTRNR2L8	MTRNR2L12	differential	1
MTRNR2L8	AC090498.1	differential	1
MTRNR2L8	PPP1R15A	non-differential	1
MTRNR2L8	RPS29	differential	1
MTRNR2L8	SSR4	differential	1
MTRNR2L8	DNAJC9	differential	1
MTRNR2L8	CRIP1	differential	1
MTRNR2L8	PITPNC1	differential	1
MTRNR2L8	CD247	differential	1
MTRNR2L8	HSP90AB1	non-differential	1
MTRNR2L8	NDUFA12	differential	1
MTRNR2L8	YWHAG	differential	1
MTRNR2L8	CD2	differential	1
MTRNR2L8	ADD3	non-differential	1
MTRNR2L8	RANGAP1	differential	1
HLA-DRA	HLA-DQB1	differential	1
CXCL13	GLA	differential	1
CXCL13	SPOCK2	differential	1
CXCL13	OAT	differential	1
CXCL13	NAA38	differential	1
CXCL13	GDE1	differential	1
CXCL13	RDH11	differential	1
MT1E	MT2A	differential	1
MT1E	FTH1	differential	1
MT1E	HMGB2	differential	1
MT1E	SYTL3	differential	1
MT1E	JUND	differential	1
MT1E	ZDHHC12	differential	1
HLA-DQA1	HLA-DQB1	differential	1
MT2A	EZR	differential	1
MT2A	KXD1	differential	1
MT2A	CHMP4B	differential	1
HLA-DRB1	HLA-DQB1	differential	1
HLA-DRB1	HLA-A	differential	1
HLA-DRB1	CREM	differential	1
HLA-DRB1	NFU1	differential	1
HLA-DQB1	HLA-A	differential	1
HLA-DQB1	AC090498.1	differential	1
HLA-DQB1	SYNGR2	differential	1
HLA-DQB1	VIM	non-differential	1
HLA-DQB1	HLA-E	differential	1
HLA-DQB1	TNFAIP8	differential	1
HLA-DQB1	CD37	differential	1
HLA-DQB1	ANP32B	differential	1
HLA-DQB1	CAPN1	differential	1
FTH1	AC090498.1	differential	1
FTH1	FAM50A	differential	1
FTH1	C11ORF73	differential	1
FTH1	BBX	differential	1
HLA-DPB1	HLA-DPA1	differential	1
HLA-DPB1	HLA-A	differential	1
HLA-DPB1	H2AFY	differential	1
HLA-DPB1	SFT2D2	non-differential	1
GZMB	CTSW	differential	1
GZMB	CBLB	differential	1
GZMB	CTSA	differential	1
GZMB	LCP1	differential	1
GZMB	SRPRA	differential	1
HLA-DPA1	HLA-DMA	differential	1
HLA-DPA1	NDRG1	differential	1
HLA-DPA1	DNAJC1	differential	1
HLA-DPA1	RAB9A	differential	1
HLA-DPA1	EFR3A	differential	1
HLA-DPA1	DDX27	differential	1
HLA-DRB5	HLA-A	differential	1
HLA-DRB5	TUBB	differential	1
HLA-DRB5	SARAF	differential	1
HLA-A	HLA-B	differential	1
HLA-A	RPS29	differential	1
HLA-A	MALAT1	differential	1
HLA-A	MAP3K8	differential	1
CXCR4	GALNT2	differential	1
CXCR4	CDC42EP3	differential	1
CXCR4	EIF4EBP1	differential	1
CXCR4	UBC	differential	1
CD8A	DNAJB1	non-differential	1
CD8A	BID	non-differential	1
CD8A	ABLIM1	differential	1
CD8A	STAT3	differential	1
CD8A	YBX1	differential	1
CD8A	PGK1	differential	1
CD8A	AHR	non-differential	1
CD8A	STARD3	differential	1
CD74	TNFRSF1B	differential	1
CD74	SMS	differential	1
CD74	RAB9A	differential	1
CD74	WDR46	differential	1
HIST1H4C	GGA2	differential	1
HIST1H4C	CXCR3	differential	1
HIST1H4C	PDCL3	differential	1
CD83	URM1	differential	1
CD83	SNF8	differential	1
HLA-C	HLA-B	differential	1
HLA-C	GAPDH	differential	1
HLA-C	TESC	non-differential	1
STMN1	AQP3	differential	1
STMN1	PIK3IP1	differential	1
MT1X	GZMK	differential	1
MT1X	CD69	differential	1
MT1X	ISG15	non-differential	1
MT1X	ID2	differential	1
MT1X	PET100	differential	1
MT1X	C14ORF1	differential	1
MT1X	PTPN22	differential	1
MT1X	IRF1	differential	1
MT1X	HAT1	differential	1
GZMK	CCL5	differential	1
GZMK	LMNB1	non-differential	1
GZMK	ANAPC11	differential	1
CCL5	ZDHHC12	differential	1
CREM	CAPG	non-differential	1
CREM	LPCAT3	differential	1
DUSP2	NINJ1	non-differential	1
DUSP2	MGST3	differential	1
DUSP2	TNIK	differential	1
DUSP2	HLA-F	differential	1
SAT1	LTB	differential	1
SAT1	AKNA	differential	1
SAT1	IER2	non-differential	1
SAT1	FBXO34	differential	1
SAT1	SYNE1	non-differential	1
NKG7	CKS2	differential	1
NKG7	TXNRD1	differential	1
CCR7	MAP3K8	differential	1
CCR7	IGFLR1	differential	1
CCR7	MVD	differential	1
CCR7	LDHA	differential	1
ZFP36	TNFAIP3	differential	1
ZFP36	LGALS3	differential	1
ZFP36	SQSTM1	differential	1
ZFP36	DSTN	differential	1
DUSP4	SLC7A5	differential	1
DUSP4	JUND	differential	1
DUSP4	YWHAH	differential	1
HSPB1	GZMA	differential	1
HSPB1	LGALS3	differential	1
HSPB1	ASMTL	differential	1
HSPB1	POGLUT1	differential	1
HSPB1	SEMA4D	differential	1
HSPB1	PLEKHA2	differential	1
HSPB1	TSPO	differential	1
HSPB1	NUB1	differential	1
ACTB	ATP1B3	differential	1
ACTB	CD5	differential	1
ACTB	GALM	differential	1
LGALS1	TSPYL2	differential	1
LGALS1	SRGN	differential	1
LGALS1	LMBRD1	differential	1
GPR183	AKNA	differential	1
GPR183	FAM50A	differential	1
GPR183	BTG3	non-differential	1
GPR183	CYP20A1	differential	1
MT1F	LINC00152	differential	1
MT1F	PDE3B	differential	1
MT1F	GBP2	differential	1
MT1F	CAMK4	differential	1
MT1F	NUTF2	differential	1
TXN	RARRES3	differential	1
TXN	BID	non-differential	1
TXN	SLC16A3	differential	1
TXN	ARL4C	differential	1
CARD16	SYAP1	differential	1
CARD16	EIF4EBP1	differential	1
RGS2	BTG1	differential	1
RGS2	STAM	differential	1
RGS2	HSPE1	differential	1
RGS2	PCF11	non-differential	1
RGS1	GPX4	differential	1
RGS1	CEBPG	differential	1
RGS1	ARPC1B	differential	1
RGS1	FBXO34	differential	1
RGS1	BST2	differential	1
SLA2	CMC1	differential	1
SLA2	SUN2	differential	1
SLA2	SNRNP200	differential	1
SLA2	BCAS2	non-differential	1
SLA2	SECISBP2L	differential	1
GADD45B	DDIT4	differential	1
GADD45B	CD44	differential	1
BTG1	FOSL2	differential	1
BTG1	SKAP1	differential	1
BTG1	ATP2A3	differential	1
SH2D2A	ISG15	non-differential	1
SH2D2A	SPTBN1	differential	1
SH2D2A	RAB11FIP1	differential	1
SH2D2A	SKP1	differential	1
SH2D2A	TUBA1A	non-differential	1
SH2D2A	TMEM245	differential	1
SH2D2A	RPSA	differential	1
SH2D2A	SKAP1	differential	1
SH2D2A	CDC37L1	differential	1
SH2D2A	ZNF267	differential	1
TUBA1B	TUBB	differential	1
TUBA1B	SOCS1	differential	1
TUBA1B	PLIN2	non-differential	1
TUBA1B	TOM1	differential	1
TUBA1B	IGFLR1	differential	1
TIGIT	ITM2C	differential	1
TIGIT	GPCPD1	differential	1
TIGIT	NAMPT	differential	1
TIGIT	AHNAK	differential	1
TIGIT	SLC1A4	non-differential	1
TIGIT	SAMD9	differential	1
GK	GPCPD1	differential	1
GK	SQSTM1	differential	1
GK	TSC22D3	differential	1
GK	BANP	differential	1
HLA-B	SDCBP	differential	1
HLA-B	B2M	differential	1
CTSW	BID	non-differential	1
CTSW	FAM60A	differential	1
CTSW	MRPL4	differential	1
LAG3	UCP2	differential	1
LAG3	CCND3	differential	1
LAG3	ITGA4	non-differential	1
LAG3	GTPBP4	non-differential	1
SOX4	CPNE3	differential	1
SOX4	NEAT1	differential	1
SOX4	ITGA4	non-differential	1
SOX4	TUBA1A	non-differential	1
SOX4	B2M	differential	1
SLC2A3	MTRNR2L12	differential	1
SLC2A3	RPS29	differential	1
SLC2A3	MAPRE2	differential	1
SLC2A3	NDUFB9	differential	1
SLC2A3	SET	differential	1
SLC2A3	LYAR	non-differential	1
SLC2A3	DDX27	differential	1
DUT	HLA-E	differential	1
DUT	HMGB1	differential	1
DUT	TIMM13	differential	1
DUT	KIF22	differential	1
DUT	IFRD1	non-differential	1
MTRNR2L12	RARRES3	differential	1
